Index,Class,Environment / biome,Climate category,Nearby,Appearance / motifs,Main color (s) (ground),Secondary colors,Extra Pieces
38,Crooked,Crooked zigzag plants,Icy,,Crooked zigzag edges,Green + Magenta?,,"Aries, KangarooQueen, KangarooPrincess, Trebuchet, FlankingPawn, FlankingKnight, NarrowRook, FlatKnight, AxePawn"
39,Clockwork,Metallic gear land + gear trees (desert ish?),Desert,Electro,Gears on base,Orange + silver,,"Bolter, Shocker, LightningElemental, Train, DaggerSpirit, SwordSpirit, Rammer, Libra, GlassQueen, GlassRook, SoulCannon, WaxPawn"
40,Plants,Extremely overgrown (giant plants?),Forest,Amoebas,Planty (leaves),Bright green,,"SpringPawn, SpringKnight, ArcanaEmpress, Tunnel, Callisto, Werewolf, Elephant"
41,Statue,Quarry (a lot of stone),Rocky,Rook,Cracks / rocks on bottom,Gray + orangish red,,"IceElemental, Immobilizer, ArcanaPriestess, Charity, StickyMan, Pusher, Rook, Anchorite, Skeleton, WaxQueen, WaxSoldier, WaxPawn, RockEgg"
42,ZoneRestricted,Rock wall and tree wall structures? (a lot of cliffs and natural barriers?),Icy,"Rook, Statue",Stripes / divider lines (vertical?),Indigo?,,"ArcanaHierophant, Earth, Saturn, Pawn, Knight, Pegasus, StickyRook, AceOfPentacles, PageOfPentacles, QueenOfPentacles, Vampire, RockEgg"
43,Splitters,Branchy trees?,Forest,"Zodiac, Normal",Stacked pieces (in Z axis so it doesn't look like Stronghold),Yellow + green,,"Gemini, AmoebaArchbishop, Disguiser, QueenLeech, SoulCannon, GrailSpirit, RingSpirit"
44,Flankers,Wavy plants and landscape patterns?,Temperate,Electro,Wavy bottom,Teal + blue,,"Bolter, Shocker, Pincer, Lancer, Ganymede, Blackguard, SlipPawn, GlassSpirit"
45,FrontBias,Top heavy plants and rock structures?,Savanna,FrontBack,Top heavy design (thin bottom?),Orange + lime,,"ArcanaHanged, Uranus, NarrowKnight, NarrowBishop, Recaller, DayPawn, DayBishop, DayQueen, Peasant"
46,FrontBack,Plants have two halves?,Savanna,FrontBias,Base is different on left vs right,Teal green + lime green?,,"ArcanaHanged, FrontQueen, FrontKnight, NightPawn, NightKnight, NightQueen, Yeoman"
47,Narrow,Bamboo forest?,Forest,Flat,Narrow,Minty green,,"Pillar, Statue, FloatMage, Comet, Paladin, PawnStack, FrontRook, FrontPawn, WarpMage, Peasant"
48,Flat,Flat desert ish savanna land?,Savanna,Narrow,Flat and wide,Gray + lime ish green,,"Bat, GravityMage, Wall, Raft, Asteroid, Paladin, Humility, Watchtower, ShieldSpirit"
49,Glass,Gray glass land + gray sand?,Desert,"Clockwork, Mirror",Glassy (transparent inside),Gray + quartz gray? + pinkish crystal?,,"GlassSpirit, SwordSpirit, BottleSpirit, DaggerSpirit, Pawn, BigBomb, Bomb, Lanterner"
50,Quick,Small plants infesting everything?,Temperate,,"Base has extra upward ""spokes""",Yellow + cyan,,"Mercury, ArcanaChariot, Runner, FastPawn, Warship, Falcon, Rabbit, CrookedBishop, CrookedPawn"
51,Slow,Big thick trees and large megastructures?,Forest,GreatBeasts,Base has extra circle bumps,Orange ish,,"Sloth, SnailQueen, Pusher, PushRook, CrookedRook, CrookedQueen, ClockworkTurtle, Cannon, MegaCannon"
52,SoulMages,"Wasteland of dead stuff, big mage towers",Rocky,"Undead, DeadlySins",Glowing bumps (to represent the souls?),Black + purple,,"ArcanaDevil, Lust, Gluttony, GrailSpirit, RingSpirit, Revenant, Abomination, Zombie, GlassPawn, Greed, RelayBishop"
53,ChargeMovers,Glowing plants?,Temperate,,Base has an extra layer to look like a battery / storage tank?,Cyan + teal,,"Diligence, Patience, Canoe, Taurus, Fledgling, EchoSoldier, GlassBishop, GlassKnight, GlassPawn"
54,ForcedMovers,White bony plants? Red ground? (on the coast?),Savanna,Undead,"Ghouls are red and emaciated, pufferfish are yellow and spiky",Red + dark blue,,"Wrath, BerserkerPawn, Boat, Vampire, GlassPawn, MiniBomb, HornSpirit, HoneyBomb, ArcanaPriestess"
55,Criminals,? (rocky wasteland?),Rocky,Dark,Black mask,Red + Black,,"Spy, Disguiser"
56,Troupe,n/a (some kind of river crossroads land where a lot of festivals happen?),Islands,"Teleporters, Royalists",Circus outfit (stripy / colorful base),White + red + pink (festive colors? Circus colors?),,"Entrancer, Hypnotist, Pisces, Aquarius, CapSpirit, Imitator, ArcanaFool"
57,Teleporters,Rocky desert?,Desert,,Base has extra stuff below it,White + purple/pink,,"FloatMage, CapSpirit, GlassSpirit, Infiltrator, Assassin, RoyalDouble, RoyalMaid, EchoSoldier, ChargeWarper"
58,Icy,Icy hills,Icy,,Icy bottom,Cyan,,"Europa, FreezeMage, ArcanaHermit, Missionary, AceOfCups, PageOfCups, QueenOfCups, WinterQueen, WinterBishop, WinterPawn, Immobilizer"
59,Poison,Toxic acidic swamp,Swamp,"Undead, Monster, Lycanthrope",Toxic puddle under base,Dark green + purple,,"PoisonMage, SparkMage, HealerMage, WaterElemental, WaterWisp, Gluttony, Werechimera, Plaguebearer, BottleSpirit"
60,StatusMages,Rocky desert?,Desert,,Hazmat / protective robes?,Gray + pink,,"PoisonElemental, IceElemental, MatchPawn, Temperance, Immobilizer"
61,Skip,Floating plants?,Forest,Swift,Missing layer in base,White + yellow?,,"Balloon, CrookedBishop, Runner, Skipper, Locust, NarrowRook, NarrowPawn"
62,Seasonal,Multi season plants? (fire + ice or spring + fall etc),Forest,"Fire, Icy","Summer = fiery, winter = icy, spring = leaves, fall = dead leaves",Orange + cyan blue + lime + red? (todo: make sure doesn't clash),,"DayPawn, NightPawn, Vestal, SnowQueen, Warden, ArcanaEmpress, AceOfWands, PageOfWands, QueenOfWands"
63,DayNight,Half sun colored + half moon colored?,Temperate,"Fire, Icy","Day = gold, sun sigil, Night = blue, moon sigil",Yellow + blueish silver?,,"ArcanaStar, ArcanaTower, SwitchPaladin, SwitchKnight, WarBishop"
64,Honeybees,Big honey colored hive world + magenta reddish wax,Temperate,GreatBeasts,Bees (Wax stuff has some melty drops to make it look like that material),Yellow + magenta,,"ArcanaEmperor, Fan, PushQueen, PushPawn, Candler, Conductor"
65,Targetters,Metallic cubic land? (desert?),Desert,"Clockwork, ObjectSpirit, Teleporters",,Cyan + gray,,"BladeBeast, ShieldSpirit, GlassSpirit, Watchtower, Bunker, ChargeCannon, WarpWeaver, Recaller, Flipper"
66,Rollers,"? (spherical plants and rocks, relatively flat ish land?) (savanna / desert?)",Desert,"Fast, Quick",Spherical or spherical bottoms,Indigo + gray,,"SwiftQueen, Hummingbird, ArcanaFortune, HoneybeeLieutenant, Bishight, Knishop, QuickKnight, QuickSlug, QuickPawn, FeatherSpirit"
67,Gliders,Woody forest (so the squirrels and such can live),Forest,,Rodents and such and related (sugar gliders also),Brownish orange,,"Leafling, Tunnel, Hawk, Blossom, Gardener, Burrower, QuickHog, Capricorn"
68,Amoebas,Slimy swamp,Swamp,"Monster, Undead","Blobby (special fuzzy outline, less fine detail)",Bright teal ish green + blue water,,"BigSlime, Slime, PoisonFrog, Fortress, Imitator, ArcanaFool, Sludge, Plaguebearer, Marshqueen, Brook"
69,GreatBeasts,Big island with giant plants,Islands,"Giant, Ultimate",Elemental eggs,Reddish + greenish + blueish,,"SlothQueen, Leo, ArcanaStrength, Squire, Dragoon, Pegasus, SuperPawn, Tardigrade, Werechimera, HeavyFrog, HeavyPawn, SnowQueen, PythonQueen"
70,Lost,Very foggy island (Basically a reflection of Ultimate),Islands,"Ultimate, Divine",Split stuff,Bright neon ish green + white,,"Pegasus, Paladin, Eagle, RingSpirit, FeatherSpirit"
